flight_number,airline_name,departure_airport,departure_city,arrival_airport,arrival_city
IB1590,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Charles de Gaulle,Paris
SQ4603,Singapore Airlines,Changi,Singapore,Beijing Capital International,Beijing
WN9919,Southwest Airlines,Los Angeles International,Los Angeles,San Francisco International,San Francisco
TG4562,Thai Airways,Suvarnabhumi,Bangkok,Changi,Singapore
NH9522,All Nippon Airways,Haneda,Tokyo,Hong Kong International,Hong Kong
NZ3240,Air New Zealand,Auckland Airport,Auckland,Sydney Airport,Sydney
IB8384,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Charles de Gaulle,Paris
AV2822,Avianca,El Dorado International,Bogotá,O'Hare International,Chicago
AF5408,Air France,Charles de Gaulle,Paris,Frankfurt Airport,Frankfurt
WN8861,Southwest Airlines,Los Angeles International,Los Angeles,Seattle-Tacoma International,Seattle
IB2915,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Charles de Gaulle,Paris
SA2908,South African Airways,O.R. Tambo International,Johannesburg,Charles de Gaulle,Paris
NH9869,All Nippon Airways,Haneda,Tokyo,Incheon International,Seoul
IB4045,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Beijing Capital International,Beijing
EK9924,Emirates,Dubai International,Dubai,Hamad International,Doha
AI2923,Air India,Indira Gandhi International,Delhi,Chhatrapati Shivaji International,Mumbai
TG6044,Thai Airways,Suvarnabhumi,Bangkok,Changi,Singapore
UA2198,United Airlines,Los Angeles International,Los Angeles,Vancouver International,Vancouver
AM9204,Aeroméxico,Benito Juárez International,Mexico City,O'Hare International,Chicago
EK3571,Emirates,Dubai International,Dubai,Hamad International,Doha
DL9400,Delta Air Lines,John F. Kennedy International,New York,Hartsfield-Jackson Atlanta,Atlanta
WN7532,Southwest Airlines,Los Angeles International,Los Angeles,San Francisco International,San Francisco
LH2767,Lufthansa,Frankfurt Airport,Frankfurt,O'Hare International,Chicago
WN6914,Southwest Airlines,Los Angeles International,Los Angeles,Toronto Pearson,Toronto
